IP,Road_Order,Intersection_ID,Intersection_Name,Route,RSU_Intersection_ID,RSU_Device_ID,RSU_Name_ID,Controller_Lat,Controller_Lon,RSU_Lat,RSU_Lon
,1,102519719,I-25 SB Ramp,88,8801,,,,,,
,2,102519721,I-25 NB Ramp,88,8802,,,,,,
,12,108306532,Parker Rd SB Ramp,88,8812,,,,,,
,3,108801725,Boston St Clinton St,88,8803,,,,,,
,4,108801749,Dayton St,88,8804,,,,,,
,5,108801800,Havana St,88,8805,,,,,,
,6,108801849,Lima St,88,8806,,,,,,
,7,108801906,Peoria St,88,8807,,,,,,
,8,108801947,Revere Pkwy,88,8808,,,,,,
,9,108801996,Potomac St,88,8809,,,,,,
,10,108802050,Jordan Rd,88,8810,,,,,,
,11,108802125,Chambers Way,88,8811,,,,,,
10.11.81.19,3,112100122,Chatfield Ave,121,12113,2887463078,1002361,39.56615,-105.0826333,39.5661,-105.0826167
10.11.81.20,4,112100228,Ken Caryl Ave,121,12112,2384146598,1002351,39.58085,-105.0874667,39.5807667,-105.0873833
10.11.81.12,5,112100283,Columbine,121,12109,2434478246,1002363,39.5879201,-105.0906039,39.5879024,-105.0906488
10.11.81.13,6,112100334,Coal Mine,121,12110,2837131430,1002360,39.5954833,-105.0911667,39.5954833,-105.0911167
10.11.81.14,7,112100359,Peakview,121,12111,2988126374,1002352,39.5987667,-105.0911,39.5986833,-105.0911167
10.11.81.21,8,112100406,Parkhill Ave,121,12108,2937794726,1002362,39.6057167,-105.0916667,39.6057333,-105.0916667
10.11.81.22,9,112100435,Bowles Ave,121,12107,2484809894,1002353,39.6095833,-105.0911333,39.6094833,-105.0911667
10.11.81.23,10,112100467,Cross Dr Long Dr,121,12106,2786799782,1002359,39.6142333,-105.0915167,39.6142667,-105.0915167
10.11.81.24,11,112100494,Crestline Ave,121,12105,2635804838,1002356,39.61845,-105.0915,39.61845,-105.0914333
10.11.81.25,12,112100536,Belleview Ave,121,12104,2333814950,1002350,39.62405,-105.0909667,39.6240333,-105.0909667
10.11.81.26,13,112100581,Layton Ave,121,12103,2585473190,1002355,39.6301333,-105.0873667,39.6302167,-105.0872667
10.11.81.27,14,112100623,Stanford Ave,121,12102,2283483302,1002349,39.6352333,-105.0826,39.6352167,-105.0827
10.11.81.28,15,112100654,Quincy Ave,121,12101,2686136486,1002357,39.6388667,-105.0819,39.6388333,-105.0819833
,1,147001390,C-470 South Ramp,121,12115,,,,,,
10.11.81.18,2,147001391,C-470 North Ramp,121,12114,2535141542,1002354,39.5552,-105.0840667,39.555,-105.0843
