RSU,localDate,SRM_count
10.11.81.18,2022-10-26,33
10.11.81.19,2022-10-26,7
10.11.81.13,2022-10-27,143
10.11.81.14,2022-10-27,182
10.11.81.18,2022-10-27,548
10.11.81.19,2022-10-27,421
10.11.81.20,2022-10-27,45
10.11.81.21,2022-10-27,164
10.11.81.22,2022-10-27,205
10.11.81.23,2022-10-27,191
10.11.81.25,2022-10-27,162
10.11.81.26,2022-10-27,119
10.11.81.27,2022-10-27,94
10.11.81.28,2022-10-27,110
10.11.81.18,2022-11-02,103
10.11.81.19,2022-11-02,121
10.11.81.20,2022-11-02,2
10.11.81.18,2022-11-03,68
10.11.81.19,2022-11-03,55
10.11.81.18,2022-11-04,36
10.11.81.19,2022-11-04,29
10.11.81.13,2022-11-08,131
10.11.81.14,2022-11-08,160
10.11.81.18,2022-11-08,19
10.11.81.19,2022-11-08,58
10.11.81.20,2022-11-08,58
10.11.81.21,2022-11-08,158
10.11.81.22,2022-11-08,194
10.11.81.23,2022-11-08,188
10.11.81.25,2022-11-08,180
10.11.81.26,2022-11-08,108
10.11.81.27,2022-11-08,116
10.11.81.28,2022-11-08,118
